address_street,address_city,address_province,address_postal_code,rental_price,bedrooms,bathrooms,amenities_list,review_text,review_rating
333 King St N,Waterloo,ON,N2J 0C5,1100,5,5,"Wifi (Blazing Fast), Laundry (shared on-site), Parking (contact for details), Gym (fitness centre), AC (not confirmed), Furnished (fully-furnished), Pets (not allowed), Utilities (all-inclusive per FAQ varies), Dishwasher (not confirmed), Balcony (not confirmed), Basement (not applicable - tower)","Great location close to campus and all the amenities you need. The building has a movie theatre and rooftop terrace which is nice for socializing. Fully furnished which made moving in easy. However, utilities situation is unclear and laundry is shared not in-unit which can be inconvenient during busy times.",4
110 University Ave W,Waterloo,ON,N2L 3E2,1125,5,5,"Wifi (Wi-Fi and High Speed Internet), Laundry (on every floor - shared), Parking (underground available), Gym (not available), AC (air conditioning), Furnished (fully furnished units available), Pets (not allowed), Utilities (not included), Dishwasher (available), Balcony (not confirmed), Basement (not applicable)",The location is unbeatable - steps from both UW and Laurier. Each bedroom has its own bathroom which is really convenient when living with roommates. WiFi is fast and reliable. The main downside is no in-unit laundry and utilities aren't included so budget accordingly. Overall a solid choice for students.,3.5
185 King St N,Waterloo,ON,N2J 0E1,1150,5,5,"Wifi (Wi-Fi and High Speed Internet), Laundry (shared laundry room on each floor), Parking (contact for details), Gym (not available), AC (air conditioning), Furnished (not confirmed), Pets (not allowed), Utilities (not included), Dishwasher (available), Balcony (not confirmed), Basement (not applicable)",Central location near bus routes and campus. The building is well-maintained with laundry on each floor which is convenient. AC works well which is important in summer. Building has wheelchair access and elevators. No pets allowed which was disappointing. Rent doesn't include utilities so expect to pay extra.,3.5
49 Columbia St W,Waterloo,ON,N2L 3K4,990,5,5,"Wifi (Wi-Fi and High Speed Internet), Laundry (in-unit washer/dryer non-coin operated), Parking (contact for details), Gym (not available), AC (air conditioning), Furnished (not confirmed), Pets (not allowed except service animals), Utilities (not included), Dishwasher (available), Balcony (not confirmed), Basement (not confirmed)",Best feature is the in-unit laundry which saves so much time and hassle. Each room has a private bathroom which is amazing. The house has all major appliances including dishwasher. AC keeps the place cool in summer. Utilities not included can add up. Good value for the price compared to other places.,4
308 King St N,Waterloo,ON,N2J 0G4,1370,2,2,"Wifi (Blazing Fast Wifi and High-speed Internet), Laundry (on-site facilities with washer/dryer hookup), Parking (indoor parking), Gym (not confirmed), AC (air conditioning), Furnished (fully-furnished suites available), Pets (not allowed), Utilities (not included), Dishwasher (available), Balcony (roof terrace available), Basement (not applicable)",Modern building with great amenities. The roof terrace is a nice touch for hanging out. Fully furnished option made move-in a breeze. Indoor parking is a big plus in winter. Ensuite bathrooms are convenient. The price is on the higher end but location is excellent - walking distance to campus and shuttle available.,4
254 Phillip St,Waterloo,ON,N2L 0E1,1295,4,4,"Wifi (Blazing Fast Wifi), Laundry (on-site facilities), Parking (contact for details), Gym (fitness centre/gym available), AC (not confirmed), Furnished (fully-furnished), Pets (not allowed), Utilities (not included), Dishwasher (not confirmed), Balcony (not confirmed), Basement (not confirmed)","This place is honestly one of the best student housing options near the University of Waterloo. The location is unbeatable, literally right across from campus. Having a gym in the building is super convenient. Fully furnished so I didn't have to worry about buying furniture. The management is professional and responsive.",4.5
20 University Ave E,Waterloo,ON,N2J 2V7,2400,1,2,"Wifi (unlimited high-speed internet included), Laundry (in-suite connections for washer/dryer), Parking (not confirmed), Gym (not confirmed), AC (air conditioning), Furnished (fully furnished suites select units), Pets (allowed - dogs and cats no restrictions), Utilities (heat water and internet included), Dishwasher (not confirmed), Balcony (private balcony per plan), Basement (not applicable)","Luxury option but worth it if you can afford it. Pets allowed which is rare for student housing. Heat, water, and internet included is nice for budgeting. Private balcony is great. In-suite laundry connections mean you can have your own washer/dryer. Steps from both universities. Only downside is the high price.",4.5
253 Lester Street Suite 301,Waterloo,ON,N2L 3W6,725,5,2,"Wifi (Wi-Fi included and High Speed Internet), Laundry (onsite coin laundry), Parking (optional monthly parking in community - no onsite), Gym (not available), AC (air conditioner and central air), Furnished (furnished), Pets (not allowed), Utilities (rent includes hydro and internet), Dishwasher (not confirmed), Balcony (not confirmed), Basement (not confirmed)",Great value for the price with utilities included. The location is excellent - noise level is low which is good for studying. Parking isn't onsite which is inconvenient. Furnished rooms save money. Coin laundry is a bit annoying but works. Staff is helpful and maintenance is decent. Good budget option overall.,3.5
273 Lester Street,Waterloo,ON,N2L 3W6,850,5,2,"Wifi (Internet included), Laundry (laundry facilities), Parking (not confirmed), Gym (not available), AC (air-conditioning), Furnished (furnished), Pets (not confirmed), Utilities (varies by package), Dishwasher (not confirmed), Balcony (not confirmed), Basement (not confirmed)","Secure building with professional management. Only a 5-minute walk to campus which is super convenient. Apartment was fully furnished with bed, desk, chair, bookshelf, closet and drawers. Large built-in closets are nice. AC works well. 24/7 service available. Good for students who want a simple, secure place close to school.",4
112 Columbia St W,Waterloo,ON,N2L 3K3,850,5,2,"Wifi (Internet included), Laundry (laundry facilities), Parking (not confirmed), Gym (not available), AC (air-conditioning), Furnished (furnished), Pets (not confirmed), Utilities (varies by package), Dishwasher (not confirmed), Balcony (not confirmed), Basement (not confirmed)",Clean and well-maintained property. Management is responsive and helpful with sublet assistance if needed. The apartment came fully furnished which was perfect for an international student. Close to shopping and entertainment. Secure building makes you feel safe. Great place for students who know each other and want to live together.,4
