title,address,city,latitude,longitude,price_per_month,bedrooms,bathrooms,property_type,amenities,available_from,available_to,university_slug,residency_status,description,is_active
5BR near University of Waterloo – 333 King St N,333 King St N,Waterloo,,,1100,5,5,apartment,"WiFi,Laundry,Parking,Gym,Furnished,Utilities Included",,,waterloo,visited,"Great location close to campus and all the amenities you need. The building has a movie theatre and rooftop terrace which is nice for socializing. Fully furnished which made moving in easy. However, utilities situation is unclear and laundry is shared not in-unit which can be inconvenient during busy times.",true
5BR near University of Waterloo – 110 University Ave W,110 University Ave W,Waterloo,,,1125,5,5,house,"WiFi,Laundry,Parking,AC,Furnished,Utilities Included,Dishwasher",,,waterloo,visited,The location is unbeatable - steps from both UW and Laurier. Each bedroom has its own bathroom which is really convenient when living with roommates. WiFi is fast and reliable. The main downside is no in-unit laundry and utilities aren't included so budget accordingly. Overall a solid choice for students.,true
5BR near University of Waterloo – 185 King St N,185 King St N,Waterloo,,,1150,5,5,house,"WiFi,Laundry,Parking,AC,Utilities Included,Dishwasher",,,waterloo,visited,Central location near bus routes and campus. The building is well-maintained with laundry on each floor which is convenient. AC works well which is important in summer. Building has wheelchair access and elevators. No pets allowed which was disappointing. Rent doesn't include utilities so expect to pay extra.,true
5BR near University of Waterloo – 49 Columbia St W,49 Columbia St W,Waterloo,,,990,5,5,house,"WiFi,Laundry,Parking,AC,Utilities Included,Dishwasher",,,waterloo,visited,Best feature is the in-unit laundry which saves so much time and hassle. Each room has a private bathroom which is amazing. The house has all major appliances including dishwasher. AC keeps the place cool in summer. Utilities not included can add up. Good value for the price compared to other places.,true
2BR near University of Waterloo – 308 King St N,308 King St N,Waterloo,,,1370,2,2,apartment,"WiFi,Laundry,Parking,AC,Furnished,Utilities Included,Dishwasher,Balcony",,,waterloo,visited,Modern building with great amenities. The roof terrace is a nice touch for hanging out. Fully furnished option made move-in a breeze. Indoor parking is a big plus in winter. Ensuite bathrooms are convenient. The price is on the higher end but location is excellent - walking distance to campus and shuttle available.,true
4BR near University of Waterloo – 254 Phillip St,254 Phillip St,Waterloo,,,1295,4,4,house,"WiFi,Laundry,Parking,Gym,Furnished,Utilities Included",,,waterloo,visited,"This place is honestly one of the best student housing options near the University of Waterloo. The location is unbeatable, literally right across from campus. Having a gym in the building is super convenient. Fully furnished so I didn't have to worry about buying furniture. The management is professional and responsive.",true
1BR near University of Waterloo – 20 University Ave E,20 University Ave E,Waterloo,,,2400,1,2,apartment,"WiFi,Laundry,AC,Furnished,Pets Allowed,Utilities Included,Balcony",,,waterloo,visited,"Luxury option but worth it if you can afford it. Pets allowed which is rare for student housing. Heat, water, and internet included is nice for budgeting. Private balcony is great. In-suite laundry connections mean you can have your own washer/dryer. Steps from both universities. Only downside is the high price.",true
5BR near University of Waterloo – 253 Lester Street Suite 301,253 Lester Street Suite 301,Waterloo,,,725,5,2,apartment,"WiFi,Laundry,Parking,AC,Furnished,Utilities Included",,,waterloo,visited,Great value for the price with utilities included. The location is excellent - noise level is low which is good for studying. Parking isn't onsite which is inconvenient. Furnished rooms save money. Coin laundry is a bit annoying but works. Staff is helpful and maintenance is decent. Good budget option overall.,true
5BR near University of Waterloo – 273 Lester Street,273 Lester Street,Waterloo,,,850,5,2,house,"WiFi,Laundry,AC,Furnished,Utilities Included",,,waterloo,visited,"Secure building with professional management. Only a 5-minute walk to campus which is super convenient. Apartment was fully furnished with bed, desk, chair, bookshelf, closet and drawers. Large built-in closets are nice. AC works well. 24/7 service available. Good for students who want a simple, secure place close to school.",true
5BR near University of Waterloo – 112 Columbia St W,112 Columbia St W,Waterloo,,,850,5,2,house,"WiFi,Laundry,AC,Furnished,Utilities Included",,,waterloo,visited,Clean and well-maintained property. Management is responsive and helpful with sublet assistance if needed. The apartment came fully furnished which was perfect for an international student. Close to shopping and entertainment. Secure building makes you feel safe. Great place for students who know each other and want to live together.,true
